variable,mean,min,median,max,nmissing,eltype
seed,25000.5,1,25000.5,50000,0,Int64
bern_eate_vals,0.3044031594237939,0.2802248829421283,0.3043630433535474,0.3294120859515977,0,Float64
bern_evar_vals,3.6594600878917785e-5,3.6199666977622204e-5,3.659462425734179e-5,3.6986295744757556e-5,0,Float64
ogd_eate_vals,0.30440382117835085,0.28061313113635383,0.3044106654664241,0.331347848368891,0,Float64
ogd_evar_vals,3.217165070375674e-5,3.147045387898821e-5,3.217495934711386e-5,3.273268419604706e-5,0,Float64
bern_cheby_width,0.054106956408550434,0.053814248654141555,0.054107023024625396,0.054395805532969216,0,Float64
bern_cheby_cover,1.0,true,1.0,true,0,Bool
bern_norm_width,0.023712983447044533,0.023584700974774064,0.023713012642290164,0.023839574831233966,0,Float64
bern_norm_cover,0.95212,false,1.0,true,0,Bool
ogd_cheby_width,0.050731818177655603,0.05017605315605301,0.05073457152444569,0.051172402090225985,0,Float64
ogd_cheby_cover,0.99998,false,1.0,true,0,Bool
ogd_norm_width,0.022233791078573987,0.021990220794224632,0.02223499776383575,0.022426881943765666,0,Float64
ogd_norm_cover,0.95224,false,1.0,true,0,Bool
